StoreID,Month,NumberOfSales
1172,4,122080
1173,3,109652
1173,4,95534
1174,3,135682
1174,4,124665
1175,3,110379
1175,4,99508
1176,3,160636
1176,4,146938
1177,3,123529
1177,4,117027
1178,3,132877
1178,4,119244
1179,3,97793
1179,4,89067
1180,3,94528
1180,4,86883
1181,3,185467
1181,4,167862
1182,3,75871
1182,4,68067
1183,3,70282
1183,4,62920
1184,3,94858
1184,4,88307
1185,3,128884
1185,4,121192
1186,3,147920
1186,4,137004
1187,3,71150
1187,4,63157
1188,3,268316
1188,4,243044
1189,3,151423
1189,4,139908
1190,3,76916
1190,4,70709
1191,3,68450
1191,4,61649
1192,3,93961
1192,4,86325
1193,3,111005
1193,4,101811
1194,3,68894
1194,4,60858
1195,3,106686
1195,4,97889
1196,3,75204
1196,4,70060
1197,3,126234
1197,4,112715
1198,3,120480
1198,4,110216
1199,3,107665
1199,4,95025
1200,3,100279
1200,4,90311
1201,3,108331
1201,4,97719
1202,3,96618
1202,4,86147
1203,3,72815
1203,4,67978
1204,3,96815
1204,4,88124
1205,3,130060
1205,4,119812
1206,3,151734
1206,4,147936
1207,3,138623
1207,4,126007
1208,3,90373
1208,4,82555
1209,3,118922
1209,4,107317
1210,3,99879
1210,4,92280
1211,3,111700
1211,4,101847
1212,3,261768
1212,4,240669
1213,3,128827
1213,4,120097
1214,3,80780
1214,4,70745
1215,3,113002
1215,4,105854
1216,3,136684
1216,4,126603
1217,3,120632
1217,4,110543
1218,3,105744
1218,4,97588
1219,3,81678
1219,4,74634
1220,3,72193
1220,4,64050
1221,3,108558
1221,4,100867
1222,3,110638
1222,4,100711
1223,3,161735
1223,4,144128
1224,3,156906
1224,4,146128
1225,3,158831
1225,4,152628
1226,3,111462
1226,4,100939
1227,3,80207
1227,4,73547
1228,3,127414
1228,4,116308
1229,3,131287
1229,4,115888
1230,3,53223
1230,4,49151
1231,3,135844
1231,4,126040
1232,3,140272
1232,4,129591
1233,3,87900
1233,4,80603
1234,3,128645
1234,4,120172
1235,3,81609
1235,4,73810
1236,3,103674
1236,4,94414
1237,3,133815
1237,4,123824
1238,3,82317
1238,4,74823
1239,3,94119
1239,4,84002
1240,3,195433
1240,4,180092
1241,3,154270
1241,4,140960
1242,3,57467
1242,4,51691
1243,3,75917
1243,4,70212
1244,3,94327
1244,4,88364
1245,3,150310
1245,4,137462
1246,3,152447
1246,4,137277
1247,3,93633
1247,4,86309
1248,3,142962
1248,4,130836
1249,3,113729
1249,4,104735
1250,3,198963
1250,4,183260
1251,3,80312
1251,4,74834
1252,3,131900
1252,4,121210
1253,3,122075
1253,4,110657
1254,3,126705
1254,4,115553
1255,3,162296
1255,4,152502
1256,3,112428
1256,4,102293
1257,3,103664
1257,4,95722
1258,3,143212
1258,4,135330
1259,3,100667
1259,4,91840
1260,3,85957
1260,4,78595
1261,3,125177
1261,4,113043
1262,3,152303
1262,4,144631
1263,3,130896
1263,4,118279
1264,3,75811
1264,4,69533
1265,3,152289
1265,4,141933
1266,3,186118
1266,4,170084
1267,3,162671
1267,4,165974
1268,3,113615
1268,4,103338
1269,3,145111
1269,4,133337
1270,3,72461
1270,4,66823
1271,3,47003
1271,4,45099
1272,3,102894
1272,4,93258
1273,3,125564
1273,4,115408
1274,3,128617
1274,4,118996
1275,3,127418
1275,4,116951
1276,3,59234
1276,4,53651
1277,3,109319
1277,4,100272
1278,3,137181
1278,4,125457
1279,3,172867
1279,4,158708
1280,3,129874
1280,4,131189
1281,3,126881
1281,4,113666
1282,3,147571
1282,4,135366
1283,3,128501
1283,4,117855
1284,3,78982
1284,4,71286
1285,3,96226
1285,4,88916
1286,3,244679
1286,4,223384
1287,3,147489
1287,4,134333
1288,3,110379
1288,4,100618
1289,3,105173
1289,4,97067
1290,3,110670
1290,4,100273
1291,3,89666
1291,4,82152
1292,3,75736
1292,4,69406
1293,3,115039
1293,4,106611
1294,3,122054
1294,4,112156
1295,3,123602
1295,4,113602
1296,3,142756
1296,4,132267
1297,3,150457
1297,4,137305
1298,3,178380
1298,4,161424
1299,3,129155
1299,4,119330
1300,3,126281
1300,4,115455
1301,3,138177
1301,4,124735
1302,3,122793
1302,4,115522
1303,3,84000
1303,4,83882
1304,3,186208
1304,4,170681
1305,3,88054
1305,4,80033
1306,3,79403
1306,4,72559
1307,3,214792
1307,4,217126
1308,3,103232
1308,4,95313
1309,3,158505
1309,4,152405
1310,3,150853
1310,4,136781
1311,3,125586
1311,4,116600
1312,3,95952
1312,4,87789
1313,3,153241
1313,4,141534
1314,3,139554
1314,4,129839
1315,3,86438
1315,4,78742
1316,3,120647
1316,4,110179
1317,3,170846
1317,4,158990
1318,3,74562
1318,4,67674
1319,3,126082
1319,4,112249
1320,3,177019
1320,4,160727
1321,3,77911
1321,4,71611
1322,3,70977
1322,4,63653
1323,3,151663
1323,4,138929
1324,3,100358
1324,4,93542
1325,3,101685
1325,4,94130
1326,3,142403
1326,4,131111
1327,3,179201
1327,4,164965
1328,3,125032
1328,4,116802
1329,3,162267
1329,4,150786
1330,3,320709
1330,4,317297
1331,3,163570
1331,4,147520
1332,3,79334
1332,4,71477
1333,3,99087
1333,4,90807
1334,3,161501
1334,4,152358
1335,3,162458
1335,4,148936
1336,3,109654
1336,4,122433
1337,3,163715
1337,4,150816
1338,3,113176
1338,4,102993
1339,3,222960
1339,4,232975
1340,3,164378
1340,4,156204
1341,3,148170
1341,4,137509
1342,3,131916
1342,4,120423
1343,3,215793
1343,4,192395
1344,3,96136
1344,4,86622
1345,3,49849
1345,4,157034
1346,3,148521
1346,4,133251
1347,3,69534
1347,4,63529
1348,3,107618
1348,4,98385
1349,3,106261
1349,4,89653
1350,3,80122
1350,4,72588
1351,3,174869
1351,4,161019
1352,3,83014
1352,4,75056
1353,3,136252
1353,4,125785
1354,3,115024
1354,4,107038
1355,3,385401
1355,4,357733
1356,3,178691
1356,4,160998
1357,3,153556
1357,4,161978
1358,3,218923
1358,4,194509
1359,3,81983
1359,4,75025
1360,3,80549
1360,4,72393
1361,3,123388
1361,4,112590
1362,3,206069
1362,4,193327
1363,3,114097
1363,4,100270
1364,3,78970
1364,4,71075
1365,3,123415
1365,4,113458
1366,3,105915
1366,4,96224
1367,3,190924
1367,4,176873
1368,3,134413
1368,4,118780
1369,3,123508
1369,4,114077
1370,3,198074
1370,4,180393
1371,3,143046
1371,4,127513
1372,3,75059
1372,4,67796
1373,3,164714
1373,4,154607
1374,3,76413
1374,4,65870
1375,3,91501
1375,4,84977
1376,3,130141
1376,4,123923
1377,3,157219
1377,4,146915
1378,3,166383
1378,4,156373
1379,3,111817
1379,4,104489
1380,3,128190
1380,4,118887
1381,3,134716
1381,4,124558
1382,3,131671
1382,4,123062
1383,3,95185
1383,4,83222
1384,3,136098
1384,4,128758
1385,3,116547
1385,4,107373
1386,3,159095
1386,4,148025
1387,3,168465
1387,4,178393
1388,3,93062
1388,4,85688
1389,3,149250
1389,4,133330
1390,3,52712
1390,4,47802
1391,3,97189
1391,4,88546
1392,3,152045
1392,4,140986
1393,3,180282
1393,4,166428
1394,3,107205
1394,4,98491
1395,3,105260
1395,4,95999
1396,3,123136
1396,4,113488
1397,3,102481
1397,4,96360
1398,3,71761
1398,4,65130
1399,3,121342
1399,4,111733
1400,3,74019
1400,4,67806
1401,3,132630
1401,4,121586
1402,3,87546
1402,4,80987
1403,3,143721
1403,4,132030
1404,3,74024
1404,4,68327
1405,3,95415
1405,4,88691
1406,3,133867
1406,4,124781
1407,3,113086
1407,4,101953
1408,3,154867
1408,4,142274
1409,3,118803
1409,4,109230
1410,3,141781
1410,4,129235
1411,3,82761
1411,4,74953
1412,3,245935
1412,4,224803
1413,3,92093
1413,4,83384
1414,3,138035
1414,4,126634
1415,3,91542
1415,4,83781
1416,3,230210
1416,4,217714
1417,3,88020
1417,4,80029
1418,3,118339
1418,4,108499
1419,3,47277
1419,4,44185
1420,3,160708
1420,4,145254
1421,3,149936
1421,4,139123
1422,3,109642
1422,4,99752
1423,3,103276
1423,4,91918
1424,3,103009
1424,4,94101
1425,3,164047
1425,4,149361
1426,3,236853
1426,4,218130
1427,3,132699
1427,4,124571
1428,3,100081
1428,4,92101
1429,3,93915
1429,4,85351
1430,3,122564
1430,4,115548
1431,3,103391
1431,4,95574
1432,3,83934
1432,4,79873
1433,3,105078
1433,4,94325
1434,3,109236
1434,4,102288
1435,3,119532
1435,4,110209
1436,3,119985
1436,4,110696
1437,3,118013
1437,4,109243
1438,3,58521
1438,4,53195
1439,3,149741
1439,4,146897
1440,3,123648
1440,4,114462
1441,3,135655
1441,4,124234
1442,3,56904
1442,4,51635
1443,3,104757
1443,4,96557
1444,3,64881
1444,4,61704
1445,3,106554
1445,4,106587
1446,3,129821
1446,4,119777
1447,3,127322
1447,4,118894
1448,3,95385
1448,4,88682
1449,3,94581
1449,4,86917
1450,3,168775
1450,4,152846
1451,3,83039
1451,4,75874
1452,3,86878
1452,4,80848
1453,3,98419
1453,4,89301
1454,3,132579
1454,4,122794
1455,3,80886
1455,4,74194
1456,3,80724
1456,4,73897
1457,3,90110
1457,4,81938
1458,3,83714
1458,4,77520
1459,3,95031
1459,4,86800
1460,3,102459
1460,4,90328
1461,3,86313
1461,4,79866
1462,3,77663
1462,4,71397
1463,3,128802
1463,4,118063
1464,3,124578
1464,4,114613
1465,3,135435
1465,4,124274
1466,3,73876
1466,4,67357
1467,3,153578
1467,4,141313
1468,3,104889
1468,4,96386
1469,3,179999
1469,4,163627
1470,3,156734
1470,4,144616
1471,3,112624
1471,4,101101
1472,3,110501
1472,4,101871
1473,3,106399
1473,4,96908
1474,3,85694
1474,4,79277
1475,3,106920
1475,4,98830
1476,3,206651
1476,4,182873
1477,3,90603
1477,4,81532
1478,3,172491
1478,4,158035
1479,3,108610
1479,4,98714
1480,3,106229
1480,4,96272
1481,3,261160
1481,4,235651
1482,3,111372
1482,4,102684
1483,3,148067
1483,4,135080
1484,3,100906
1484,4,93649
1485,3,113808
1485,4,104038
1486,3,107524
1486,4,98199
1487,3,87180
1487,4,80488
1488,3,142534
1488,4,133747
1489,3,120562
1489,4,111549
1490,3,102337
1490,4,94815
1491,3,329166
1491,4,299927
1492,3,109563
1492,4,100342
1493,3,221140
1493,4,200261
1494,3,211062
1494,4,191834
1495,3,14031
1495,4,134874
1496,3,143763
1496,4,133333
1497,3,93612
1497,4,82118
1498,3,102588
1498,4,93980
1499,3,90737
1499,4,84377
1500,3,98931
1500,4,89802
1501,3,207843
1501,4,185431
1502,3,167551
1502,4,154118
1503,3,72100
1503,4,64716
1504,3,130685
1504,4,122943
1505,3,72377
1505,4,64812
1506,3,98333
1506,4,90615
1507,3,131082
1507,4,121522
1508,3,109628
1508,4,98054
1509,3,109096
1509,4,97512
1510,3,123942
1510,4,111605
1511,3,116821
1511,4,105610
1512,3,105038
1512,4,95335
1513,3,154304
1513,4,140811
1514,3,91283
1514,4,85062
1515,3,88554
1515,4,80335
1516,3,99080
1516,4,90546
1517,3,63095
1517,4,67727
1518,3,101666
1518,4,92666
1519,3,92447
1519,4,85180
1520,3,92838
1520,4,81568
1521,3,108455
1521,4,98915
1522,3,157476
1522,4,146401
1523,3,90388
1523,4,82728
1524,3,117712
1524,4,110688
1525,3,74287
1525,4,67334
1526,3,88923
1526,4,78146
1527,3,92343
1527,4,85293
1528,3,116814
1528,4,108476
1529,3,133084
1529,4,123194
1530,3,104414
1530,4,96625
1531,3,145410
1531,4,136718
1532,3,102577
1532,4,93062
1533,3,135052
1533,4,121393
1534,3,142391
1534,4,130718
1535,3,165545
1535,4,154621
1536,3,86473
1536,4,78745
1537,3,117326
1537,4,107110
1538,3,287012
1538,4,256032
1539,3,61992
1539,4,57199
1540,3,230197
1540,4,209938
1541,3,105523
1541,4,95171
1542,3,107530
1542,4,97734
1543,3,83741
1543,4,75691
1544,3,95725
1544,4,89091
1545,3,87872
1545,4,80838
1546,3,62590
1546,4,55602
1547,3,76304
1547,4,69286
1548,3,74559
1548,4,66063
1549,3,171942
1549,4,154363
1550,3,130277
1550,4,118093
1551,3,178846
1551,4,161753
1552,3,117936
1552,4,106775
1553,3,103027
1553,4,96078
1554,3,78468
1554,4,71226
1555,3,126649
1555,4,111959
1556,3,81799
1556,4,74629
1557,3,151854
1557,4,142375
1558,3,92853
1558,4,81435
1559,3,123735
1559,4,113360
1560,3,129184
1560,4,119807
1561,3,230638
1561,4,213856
1562,3,230881
1562,4,217241
1563,3,120541
1563,4,108440
1564,3,109170
1564,4,100155
1565,3,137060
1565,4,125254
1566,3,120369
1566,4,110502
1567,3,155542
1567,4,145167
1568,3,132763
1568,4,120477
1569,3,145488
1569,4,131167
1570,3,126437
1570,4,117099
1571,3,101135
1571,4,93240
1572,3,87494
1572,4,82651
1573,3,140657
1573,4,131148
1574,3,130884
1574,4,120499
1575,3,139295
1575,4,129772
1576,3,185971
1576,4,177223
1577,3,81266
1577,4,74134
1578,3,114749
1578,4,104704
1579,3,127723
1579,4,118255
1580,3,146396
1580,4,137082
1581,3,153149
1581,4,138288
1582,3,128897
1582,4,120309
1583,3,55296
1583,4,50823
1584,3,241053
1584,4,219118
1585,3,67798
1585,4,61097
1586,3,83595
1586,4,75557
1587,3,124465
1587,4,115268
1588,3,92182
1588,4,83861
1589,3,121021
1589,4,110302
1590,3,60371
1590,4,53439
1591,3,148636
1591,4,136684
1592,3,130905
1592,4,120277
1593,3,170555
1593,4,150996
1594,3,132876
1594,4,117378
1595,3,167264
1595,4,152770
1596,3,92772
1596,4,85439
1597,3,205748
1597,4,184490
1598,3,101039
1598,4,92046
1599,3,106645
1599,4,97324
1600,3,138482
1600,4,127211
1601,3,99021
1601,4,90227
1602,3,249444
1602,4,226555
1603,3,132013
1603,4,119564
1604,3,131548
1604,4,122210
1605,3,49343
1605,4,47872
1606,3,112456
1606,4,102284
1607,3,123985
1607,4,113395
1608,3,85033
1608,4,78024
1609,3,119207
1609,4,108606
1610,3,142131
1610,4,132520
1611,3,249187
1611,4,228955
1612,3,120677
1612,4,112240
1613,3,96365
1613,4,88750
1614,3,126695
1614,4,117334
1615,3,116868
1615,4,127073
1616,3,122192
1616,4,104857
1617,3,154463
1617,4,141910
1618,3,113576
1618,4,103101
1619,3,92141
1619,4,85679
1620,3,175730
1620,4,157543
1621,3,144318
1621,4,131679
1622,3,110158
1622,4,99501
1623,3,175792
1623,4,157974
1624,3,113224
1624,4,103507
1625,3,107939
1625,4,98103
1626,3,122686
1626,4,112618
1627,3,122055
1627,4,113300
1628,3,118081
1628,4,108459
1629,3,149056
1629,4,136649
1630,3,129749
1630,4,115883
1631,3,114617
1631,4,105027
1632,3,128959
1632,4,113646
1633,3,87687
1633,4,81754
1634,3,66047
1634,4,59528
1635,3,166803
1635,4,151993
1636,3,244199
1636,4,221837
1637,3,140748
1637,4,131133
1638,3,94070
1638,4,86545
1639,3,125720
1639,4,115159
1640,3,201742
1640,4,182243
1641,3,105584
1641,4,94375
1642,3,93401
1642,4,84802
1643,3,99448
1643,4,91838
1644,3,105666
1644,4,95925
1645,3,67160
1645,4,60923
1646,3,158823
1646,4,143020
1647,3,119975
1647,4,110661
1648,3,114529
1648,4,106075
1649,3,150897
1649,4,139517
1650,3,76062
1650,4,69349
1651,3,99525
1651,4,89957
1652,3,163664
1652,4,151959
1653,3,164074
1653,4,149016
1654,3,107187
1654,4,95467
1655,3,137078
1655,4,123730
1656,3,176802
1656,4,162805
1657,3,103070
1657,4,93805
1658,3,139409
1658,4,129808
1659,3,73614
1659,4,65486
1660,3,155829
1660,4,143229
1661,3,230359
1661,4,210705
1662,3,209469
1662,4,188189
1663,3,79459
1663,4,73549
1664,3,87895
1664,4,79093
1665,3,132993
1665,4,114572
1666,3,84992
1666,4,77776
1667,3,129424
1667,4,121204
1668,3,132020
1668,4,121684
1669,3,85861
1669,4,79048
1670,3,90212
1670,4,81876
1671,3,148028
1671,4,136385
1672,3,130340
1672,4,120212
1673,3,89116
1673,4,78948
1674,3,161266
1674,4,146561
1675,3,114183
1675,4,105446
1676,3,236844
1676,4,235727
1677,3,159586
1677,4,149032
1678,3,148819
1678,4,136613
1679,3,84355
1679,4,77259
1680,3,91973
1680,4,84969
1681,3,144232
1681,4,135609
1682,3,81589
1682,4,73878
1683,3,93634
1683,4,82371
1684,3,192582
1684,4,182628
1685,3,124339
1685,4,110165
1686,3,190531
1686,4,175023
1687,3,130913
1687,4,121979
1688,3,93360
1688,4,85120
1689,3,169659
1689,4,159003
1690,3,139977
1690,4,127493
1691,3,74698
1691,4,68591
1692,3,58738
1692,4,52211
1693,3,75743
1693,4,68642
1694,3,143224
1694,4,132520
1695,3,107989
1695,4,101649
1696,3,190128
1696,4,173253
1697,3,120134
1697,4,111032
1698,3,319520
1698,4,288939
1699,3,126765
1699,4,117459
1700,3,92549
1700,4,85019
1701,3,199042
1701,4,184596
1702,3,251988
1702,4,226602
1703,3,87436
1703,4,81678
1704,3,166791
1704,4,152340
1705,3,106611
1705,4,96026
1706,3,165940
1706,4,151880
1707,3,140797
1707,4,128337
1708,3,129429
1708,4,118890
1709,3,60661
1709,4,54040
1710,3,69223
1710,4,63846
1711,3,123423
1711,4,110344
1712,3,98287
1712,4,89505
1713,3,115115
1713,4,106521
1714,3,109017
1714,4,101281
1715,3,118320
1715,4,106421
1716,3,92147
1716,4,83480
1717,3,110259
1717,4,99136
1718,3,93179
1718,4,85031
1719,3,147350
1719,4,134665
1720,3,136403
1720,4,145760
1721,3,88749
1721,4,82929
1722,3,78655
1722,4,73235
1723,3,125677
1723,4,116419
1724,3,69108
1724,4,63952
1725,3,186873
1725,4,170494
1726,3,89670
1726,4,84296
1727,3,191922
1727,4,172665
1728,3,105009
1728,4,96248
1729,3,111586
1729,4,97391
1730,3,94191
1730,4,87385
1731,3,273378
1731,4,249357
1732,3,148464
1732,4,138401
1733,3,182681
1733,4,166593
1734,3,138046
1734,4,127285
1735,3,124856
1735,4,116830
1736,3,68259
1736,4,59815
1737,3,79355
1737,4,72754
1738,3,108828
1738,4,96978
1739,3,112092
1739,4,107605
1740,3,93295
1740,4,87042
1741,3,136163
1741,4,126830
1742,3,156678
1742,4,145067
1743,3,64418
1743,4,60940
1744,3,113536
1744,4,106530
1745,3,123471
1745,4,112369
1746,3,95489
1746,4,88637
1747,3,139674
1747,4,129887
1748,3,107959
1748,4,94876
